"","data","Freq"
"1746","十八条",10
"1818","四十八条",10
"1924","条及",10
"1963","万某",10
"2202","熊某",10
"2258","颜某",10
"2311","一百七十",10
"2684","钟某",10
"43","包某",9
"310","第二",9
"335","第九十九条",9
"789","贺某",9
"900","季某",9
"957","焦某",9
"980","借贷",9
"1031","决定",9
"1039","康某",9
"1154","廖某",9
"1296","谩骂",9
"1300","矛盾",9
"1329","民间",9
"1418","穆某",9
"1692","邵某",9
"1719","审判",9
"1756","十四条",9
"2037","委员会",9
"2143","现在",9
"2296","叶某",9
"2333","一审",9
"2369","异议",9
"2396","应于",9
"69","被告方",8
"157","柴某",8
"281","单某",8
"348","第六十五条",8
"372","第三十五条",8
"379","第十二条",8
"496","二十二条",8
"502","二十四条",8
"506","二条",8
"511","发生",8
"561","分割",8
"697","管辖权",8
"923","监护人",8
"1243","陆某",8
"1439","聂某",8
"1627","如果",8
"1726","生小孩",8
"1839","诉请",8
"2313","一百四十",8
"2326","一款",8
"2404","尤某",8
"2492","原被告",8
"2495","原告方",8
"2513","岳某",8
"80","毕某",7
"392","第四十九条",7
"406","第五十七条",7
"498","二十七",7
"656","公民",7
"666","龚某",7
"782","和睦",7
"808","侯某",7
"861","婚后",7
"904","继承",7
"970","结婚",7
"989","进行",7
"1044","可能",7
"1131","理由",7
"1219","六个月",7
"1476","判决书",7
"1483","裴某",7
"1575","权证",7
"1580","全某",7
"1594","人马",7
"1620","日内",7
"1645","三百元",7
"1647","三款",7
"1654","三十六条",7
"1922","条第",7
"1923","条和",7
"2094","五十八条",7
"2302","一百二十七",7
"2305","一百零八",7
"2372","意见",7
"2434","由张",7
"2660","直接",7
"2746","自行",7
"2770","左某",7
"82","变更",6
"88","表现",6
"95","剥夺",6
"112","不能",6
"113","不受",6
"139","参照",6
"162","常某",6
"167","偿还",6
"174","彻底",6
"341","第六十二",6
"390","第四款",6
"404","第五十二",6
"414","第一百八",6
"417","第一百零七条",6
"453","冻结",6
"478","二百七十",6
"497","二十九条",6
"543","妨害",6
"557","非婚生子",6
"584","符某",6
"862","婚前",6
"934","健康成长",6
"1071","雷某",6
"1077","黎某",6
"1177","凌某",6
"1332","民事裁定",6
"1479","庞某",6
"1495","平等",6
"1524","其它",6
"1544","侵犯",6
"1664","山东省",6
"1754","十三条",6
"1782","是否",6
"1844","诉讼费用",6
"1933","庭审",6
"2043","未成年",6
"2061","文明",6
"2102","武某",6
"2130","先行",6
"2180","辛某",6
"2304","一百九十",6
"2360","以前",6
"2526","责令",6
"2632","证明",6
"2673","中国",6
"2678","中华人民",6
"2757","综合",6
"3","艾某",5
"32","百三",5
"93","并未",5
"109","不服",5
"175","撤回",5
"247","次女",5
"325","第二十四条",5
"385","第十四条",5
"396","第四十四条",5
"422","第一百五十二条",5
"454","窦某",5
"556","非婚生",5
"563","分居",5
"617","感情",5
"659","公务",5
"671","共和",5
"676","共有",5
"679","古某",5
"803","洪某",5
"859","悔罪",5
"866","婚生子女",5
"1005","荆江",5
"1007","荆雪芳",5
"1041","考虑",5
"1043","柯某",5
"1067","老年人",5
"1353","缪某",5
"1428","内向",5
"1433","倪某",5
"1446","牛某",5
"1506","朴某",5
"1531","签订",5
"1584","确定",5
"1624","戎某",5
"1651","三十八",5
"1653","三十九",5
"1663","沙某",5
"1677","上海市浦东新区",5
"1685","尚某",5
"1751","十六条",5
"1759","十五条",5
"1813","四百八十",5
"1909","陶某",5
"1910","讨论",5
"1914","提供",5
"1944","童某",5
"1954","退还",5
"2062","文某",5
"2068","稳定性",5
"2163","小孩",5
"2319","一次性",5
"2391","应当",5
"2442","有限公司",5
"2467","郁某",5
"2532","翟某",5
"2596","长女",5
"2663","指定",5
"2687","重庆市",5
"2745","自本",5
"15","按本",4
"58","暴力",4
"59","暴力行为",4
"66","北京市西城区人民法院",4
"90","并报",4
"103","不成",4
"153","查封",4
"248","次子",4
"258","存款",4
"289","导致",4
"351","第六项",4
"369","第三十三条",4
"398","第四十五",4
"405","第五十六条",4
"408","第五十四条",4
"409","第五十五",4
"415","第一百九十六条",4
"476","二百六十",4
"489","二年",4
"526","反诉",4
"594","抚育费",4
"608","傅某",4
"648","耿某",4
"669","巩某",4
"673","共计",4
"677","沟通",4
"699","贯彻执行",4
"770","合同",4
"774","何丽君",4
"786","河南省",4
"843","黄国健",4
"874","霍某",4
"939","江某",4
"941","江西省",4
"942","姜桂荣",4
"963","轿车",4
"988","金玉",4
"1027","具体",4
"1062","兰某",4
"1084","李冬",4
"1147","梁素珍",4
"1173","吝某",4
"1220","六十九条",4
"1239","鲁某",4
"1261","履行",4
"1302","没有",4
"1355","莫某",4
"1389","某某某",4
"1399","某诉",4
"1414","某珍",4
"1437","年满",4
"1473","潘勇",4
"1477","判令",4
"1481","赔偿",4
"1530","迁出",4
"1553","青岛市",4
"1602","人身权利",4
"1615","任崇敏",4
"1635","阮某",4
"1668","赡养费",4
"1728","生一子",4
"1739","盛某",4
"1783","适应",4
"1851","随父",4
"1855","孙骥",4
"1860","孙受",4
"1882","琐事",4
"1895","探望",4
"1940","同意",4
"1974","王凤麟",4
"2076","无期徒刑",4
"2093","五日",4
"2207","秀英",4
"2255","研究",4
"2375","因此",4
"2392","应某",4
"2394","应以",4
"2466","玉竹",4
"2485","袁得芹",4
"2599","长子",4
"2647","政治权利",4
"2667","志强",4
"2683","终身",4
"2686","重婚罪",4
"2727","庄某",4
"2748","自理",4
"2767","最高人民检察院",4
"10","安徽省",3
"53","保障",3
"71","被上诉人",3
"89","冰箱",3
"100","补偿款",3
"154","查明",3
"214","成年",3
"260","存在",3
"263","达到",3
"283","单元",3
"290","到庭",3
"322","第二十七",3
"402","第五款",3
"433","刁某",3
"451","董艳飞",3
"471","儿童",3
"481","二百四十",3
"501","二十三条",3
"507","二项",3
"520","法律效力",3
"550","房屋产权",3
"579","夫妻关系",3
"585","福安",3
"595","父母",3
"602","负责",3
"635","个人",3
"640","各项",3
"646","根据上述",3
"678","购买",3
"680","股份",3
"695","管某",3
"798","红梅",3
"811","后果",3
"821","湖南省",3
"879","基础",3
"880","基此",3
"899","季海娟",3
"903","济南市",3
"915","家庭成员",3
"926","简某",3
"1006","荆某",3
"1014","纠纷案件",3
"1021","居住",3
"1024","举证",3
"1081","李沧区",3
"1137","立即",3
"1152","两人",3
"1162","林丽环",3
"1217","柳某",3
"1221","六十四",3
"1295","麦某",3
"1320","免收",3
"1325","民保令",3
"1331","民事案件",3
"1354","摩托车",3
"1357","牟某",3
"1370","某凤",3
"1459","女马",3
"1470","潘登",3
"1480","陪嫁",3
"1508","七个",3
"1509","七年",3
"1510","七日",3
"1515","戚某",3
"1517","期限",3
"1557","情况",3
"1572","权利",3
"1582","缺乏",3
"1595","人民",3
"1648","三年",3
"1650","三日",3
"1687","尚未",3
"1690","尚有",3
"1693","佘某",3
"1702","申某",3
"1741","师某",3
"1744","施某",3
"1748","十二年",3
"1749","十二条",3
"1758","十五日",3
"1761","十一",3
"1791","受理",3
"1809","司法解释",3
"1840","诉求",3
"1853","随母",3
"1884","邰某",3
"1915","提交",3
"1938","同时",3
"1958","完整",3
"1965","万元",3
"1987","王明",3
"1991","王青",3
"2016","危某",3
"2055","温某",3
"2081","吴江",3
"2090","五个",3
"2104","侮辱",3
"2117","奚某",3
"2169","协议",3
"2185","新建",3
"2196","邢某",3
"2198","兴隆",3
"2219","许凤荣",3
"2224","许素玉",3
"2284","杨英艺",3
"2301","一百二十八",3
"2310","一百六十",3
"2318","一次",3
"2327","一辆",3
"2332","一日",3
"2344","衣物",3
"2364","义务",3
"2406","由程",3
"2419","由马",3
"2425","由孙",3
"2440","有利于",3
"2459","俞某",3
"2465","玉花",3
"2616","折抵",3
"2620","甄某",3
"2625","争议",3
"2628","正常",3
"2636","郑辉",3
"2642","郑优香",3
"2649","之间",3
"2681","中级",3
"2721","主张",3
"2722","住所",3
"2744","訾某",3
"2752","自由恋爱",3
"2764","最高",3
"2772","作出",3
"6","安炳京",2
"7","安定",2
"8","安定团结",2
"16","按揭",2
"17","按照",2
"18","案二审",2
"34","柏某",2
"52","保全费",2
"55","鲍海友",2
"75","本溪市",2
"81","边秀娟",2
"84","标准",2
"85","表达",2
"87","表示",2
"92","并经",2
"98","补偿",2
"102","补助款",2
"107","不动产",2
"108","不二",2
"120","不足以",2
"121","部分",2
"123","材料",2
"127","裁判",2
"130","蔡昌苗",2
"131","蔡红",2
"137","参加",2
"141","操某",2
"143","曹桂英",2
"150","曾碧兰",2
"160","产生矛盾",2
"165","常燕",2
"168","场所",2
"172","车牌号",2
"173","车秀云",2
"178","陈丙艳",2
"179","陈晨",2
"184","陈洪",2
"187","陈君",2
"189","陈丽颖",2
"192","陈倩倩",2
"195","陈石",2
"196","陈述",2
"197","陈万英",2
"199","陈伟",2
"200","陈小丽",2
"204","陈忆",2
"210","谌登明",2
"212","成利平",2
"213","成某",2
"218","成长",2
"219","承包",2
"227","惩罚",2
"233","初纪",2
"236","川祁",2
"243","慈润宾",2
"246","此外",2
"249","聪颖",2
"252","促进",2
"259","存续",2
"272","大蓉",2
"273","大兴区",2
"274","代某",2
"275","代素芳",2
"276","贷款",2
"294","德尔",2
"300","邓艾华",2
"320","第二十六",2
"337","第九十五条",2
"343","第六十六",2
"352","第七十八条",2
"353","第七十九",2
"360","第三十八",2
"363","第三十九",2
"377","第十",2
"382","第十七",2
"389","第四",2
"397","第四十条",2
"403","第五十八",2
"435","丁磊",2
"436","丁蜜蜜",2
"447","董静",2
"452","董元",2
"455","独立",2
"464","对易",2
"474","二百九十三",2
"480","二百三十八",2
"491","二人",2
"517","法定条件",2
"521","法院",2
"531","范德友",2
"535","范润贞",2
"537","范泽琼",2
"547","房秋娥",2
"551","房业发",2
"559","费县",2
"562","分行",2
"565","份额",2
"566","丰某",2
"568","封某",2
"569","冯丽",2
"587","福林",2
"604","妇女儿童",2
"609","富贵",2
"616","甘肃省",2
"623","高莉",2
"627","高霞霞",2
"628","高琰",2
"629","高志",2
"633","葛唱",2
"657","公平",2
"661","公正",2
"662","宫某",2
"664","宫小娟",2
"665","龚丽",2
"682","故城县",2
"692","管春梅",2
"698","管制",2
"701","广州市",2
"717","郭盼",2
"722","郭雪飞",2
"723","郭艳琴",2
"729","果某",2
"738","海燕",2
"759","郝清国",2
"762","号码",2
"777","何士富",2
"781","何懿",2
"784","河北省",2
"787","核准",2
"790","贺玉刚",2
"794","衡某",2
"801","虹口区",2
"806","洪涛",2
"809","侯兴明",2
"810","侯映",2
"815","胡凑",2
"816","胡辉",2
"819","胡元梅",2
"822","互谅互让",2
"823","互相",2
"830","华佳溪",2
"833","化某",2
"834","欢欢",2
"835","环境",2
"846","黄连",2
"847","黄莲清",2
"850","黄尚昆",2
"873","或者",2
"882","嵇某",2
"896","计艳芃",2
"912","家属",2
"918","嘉定区",2
"922","嫁妆",2
"930","建路",2
"932","建新",2
"933","剑峰",2
"938","江会纪",2
"943","姜久凤",2
"944","姜丽芹",2
"956","焦点",2
"962","缴纳",2
"968","结果",2
"976","解决",2
"978","解某",2
"990","进入",2
"995","经常",2
"997","经济",2
"1009","精神痛苦",2
"1011","景某",2
"1015","九个",2
"1019","拘役",2
"1025","句容市",2
"1042","考验",2
"1058","邝某",2
"1060","涞水县",2
"1063","兰山区",2
"1068","乐某",2
"1072","雷延花",2
"1073","雷玉萍",2
"1075","梨花",2
"1079","李宝艳",2
"1082","李成",2
"1089","李海颂",2
"1092","李花",2
"1095","李锦娟",2
"1099","李良娟",2
"1101","李敏",2
"1104","李培荣",2
"1107","李淑娟",2
"1109","李汶珈",2
"1112","李孝群",2
"1114","李秀梅",2
"1120","李玉洁",2
"1121","李再权",2
"1125","李主昌",2
"1130","理应",2
"1133","历城区",2
"1140","利息",2
"1142","荔湾区",2
"1144","连艳灵",2
"1149","梁兴",2
"1150","两个",2
"1155","林春月",2
"1180","刘彬",2
"1181","刘冰惠",2
"1189","刘辉",2
"1190","刘建清",2
"1191","刘金凤",2
"1192","刘军",2
"1193","刘均玲",2
"1194","刘峻琦对",2
"1199","刘明",2
"1202","刘鹏宇",2
"1208","刘伟",2
"1210","刘霞",2
"1211","刘小宴",2
"1213","刘效舜",2
"1214","刘燕静",2
"1218","六安市",2
"1222","六十条",2
"1225","龙沙区",2
"1228","娄某",2
"1231","卢丹",2
"1241","陆菊平",2
"1247","罗道",2
"1251","罗平",2
"1253","罗萍",2
"1254","罗琼",2
"1260","吕忠彬",2
"1263","马艾米",2
"1264","马得昌",2
"1265","马得俊",2
"1270","马红",2
"1271","马慧芳",2
"1272","马兰",2
"1273","马丽梅",2
"1278","马热",2
"1279","马赛",2
"1284","马小燕",2
"1285","马晓玲",2
"1298","毛艳",2
"1305","梅某",2
"1307","梅五良",2
"1311","美玉",2
"1315","蒙某",2
"1317","孟雪梅",2
"1338","民再",2
"1340","民终",2
"1342","闵行区",2
"1358","某丙",2
"1367","某芳",2
"1368","某粉",2
"1369","某峰",2
"1379","某娟",2
"1382","某兰",2
"1384","某良",2
"1385","某玲",2
"1390","某娜",2
"1392","某鹏",2
"1398","某讼",2
"1405","某艳",2
"1406","某乙",2
"1410","某英",2
"1416","母亲",2
"1419","那日",2
"1420","耐磨材料",2
"1427","内容",2
"1429","能够",2
"1430","能力",2
"1434","倪生",2
"1438","年幼",2
"1442","宁某",2
"1450","虐待",2
"1469","牌号",2
"1488","彭晓强",2
"1496","平房",2
"1498","平山区",2
"1503","迫切愿望",2
"1513","七十条",2
"1518","期自",2
"1519","齐某",2
"1520","齐齐哈尔市",2
"1521","祁东县",2
"1522","祁某",2
"1534","钱飙",2
"1538","强某",2
"1539","乔丽",2
"1540","乔良",2
"1542","乔忠",2
"1543","切实",2
"1549","秦辉",2
"1554","青海省",2
"1558","情形",2
"1560","庆安",2
"1568","曲京仓",2
"1569","曲某",2
"1576","全案",2
"1579","全福",2
"1585","确认",2
"1589","冉晓英",2
"1614","认罪态度",2
"1618","任雯",2
"1621","日生",2
"1622","日向",2
"1625","荣某",2
"1626","荣于",2
"1632","汝阳县",2
"1634","阮承富",2
"1636","芮某",2
"1639","瑞雪",2
"1656","三十日",2
"1660","桑某",2
"1662","沙发",2
"1669","伤害",2
"1671","商某",2
"1675","上海",2
"1678","上栗县",2
"1683","上周",2
"1684","尚丽琼",2
"1686","尚巧梅",2
"1691","邵红侠",2
"1700","涉外",2
"1707","申请事项",2
"1710","身心健康",2
"1711","莘某",2
"1713","沈丽",2
"1743","施进",2
"1747","十八周岁",2
"1755","十四年",2
"1760","十项",2
"1768","时间",2
"1769","时军",2
"1774","史娜",2
"1775","史玉娟",2
"1778","市字第",2
"1788","收入",2
"1796","属于",2
"1803","双泉",2
"1810","司某",2
"1814","四川省",2
"1816","四款",2
"1817","四年",2
"1828","宋秋宏",2
"1830","宋卫利",2
"1831","宋小明",2
"1841","诉讼",2
"1857","孙佳妮",2
"1861","孙习",2
"1862","孙习卫",2
"1868","孙忠旺",2
"1870","损失",2
"1880","所育",2
"1887","谭理琼",2
"1890","谭启蓉",2
"1891","谭强",2
"1901","唐鲜",2
"1902","唐向",2
"1908","陶俊义",2
"1912","滕某",2
"1930","调和",2
"1932","听听",2
"1941","佟某",2
"1945","童毅",2
"1950","土地管理法",2
"1957","完全",2
"1966","汪池贤",2
"1970","汪亚",2
"1971","王爱菊",2
"1972","王安艳",2
"1978","王红丽",2
"1979","王宏侠",2
"1986","王良香",2
"1993","王肃",2
"1997","王兴",2
"2000","王雪",2
"2002","王艳芳",2
"2007","王育",2
"2022","微微",2
"2023","微信",2
"2025","韦杰祥",2
"2026","韦某",2
"2030","为苏",2
"2038","隗某",2
"2039","卫对",2
"2049","魏怀玉",2
"2050","魏加如",2
"2066","文勇",2
"2074","无法",2
"2079","吴峰",2
"2080","吴建乡",2
"2082","吴军",2
"2083","吴龙",2
"2085","吴琼蓉",2
"2100","武对",2
"2116","希望",2
"2124","下同",2
"2125","夏登",2
"2127","夏冕",2
"2140","现王",2
"2142","现有",2
"2144","限本",2
"2156","享有",2
"2160","肖柏发",2
"2161","肖开敏",2
"2165","小区",2
"2173","谢百云",2
"2174","谢东",2
"2175","谢建英",2
"2186","新阳",2
"2188","刑初",2
"2190","刑某",2
"2192","刑事案件",2
"2203","熊志花",2
"2212","徐慧津子",2
"2214","徐鹏",2
"2215","徐庆福",2
"2216","徐涛",2
"2218","许春利",2
"2220","许慧",2
"2223","许庆华",2
"2225","许瑶",2
"2235","薛少波",2
"2237","薛有鹏",2
"2240","学林",2
"2243","雪松",2
"2251","严和东",2
"2253","严肃",2
"2261","秧某",2
"2264","杨桂荣",2
"2265","杨海花",2
"2267","杨军",2
"2270","杨利美",2
"2271","杨明",2
"2278","杨贤君",2
"2279","杨显政",2
"2289","姚纲",2
"2299","叶小香",2
"2315","一百五十元",2
"2317","一半",2
"2320","一定",2
"2330","一女",2
"2334","一审判决",2
"2339","一项",2
"2341","一子",2
"2343","衣某",2
"2345","医疗费",2
"2353","遗产",2
"2362","以下",2
"2363","义乌市",2
"2365","义勇",2
"2376","因素",2
"2380","银行",2
"2381","银行存款",2
"2389","营口市",2
"2402","永清",2
"2407","由丁",2
"2431","由于",2
"2437","有个",2
"2449","余德婧",2
"2450","余二",2
"2453","余婧琼",2
"2456","余天",2
"2458","俞巾萍",2
"2476","元及",2
"2484","元至",2
"2486","袁怀山",2
"2488","袁礼涛",2
"2493","原董",2
"2503","原武",2
"2508","院内",2
"2511","月份",2
"2514","岳喜林",2
"2516","运飞",2
"2521","昝某",2
"2527","责任",2
"2529","赠与",2
"2530","翟贝",2
"2531","翟敏洁",2
"2534","债务",2
"2539","詹某",2
"2542","张爱甜",2
"2544","张冰",2
"2545","张彩丽",2
"2547","张春枝",2
"2551","张国智",2
"2552","张涵",2
"2554","张红岩",2
"2557","张家",2
"2559","张京生",2
"2561","张澜",2
"2563","张莉",2
"2564","张玲",2
"2568","张培鑫",2
"2569","张琪悦",2
"2578","张晓旭",2
"2580","张薰",2
"2582","张燕",2
"2585","张义敏",2
"2586","张应",2
"2587","张钰婕",2
"2590","张韵",2
"2591","张振民",2
"2592","张志强",2
"2595","长发",2
"2600","账户",2
"2602","赵大刚",2
"2604","赵红云",2
"2605","赵吉财",2
"2606","赵婧涵",2
"2608","赵凯",2
"2609","赵连英",2
"2621","振华",2
"2638","郑林林",2
"2640","郑旭",2
"2641","郑雪娥",2
"2645","政策",2
"2648","之家",2
"2652","之子",2
"2657","只要",2
"2664","至今",2
"2665","志达",2
"2668","制度",2
"2669","质证",2
"2670","秩序",2
"2674","中国建设银行",2
"2685","重归于好",2
"2690","周春梅",2
"2691","周翠云",2
"2692","周淮波",2
"2697","周祥安",2
"2698","周小华",2
"2699","周雪云",2
"2700","周玉娟",2
"2701","周云美",2
"2703","朱会英",2
"2706","朱琳",2
"2708","朱士",2
"2709","朱朔",2
"2723","住宅",2
"2725","祝晓兰",2
"2733","卓某",2
"2734","酌定",2
"2736","资格",2
"2737","资金",2
"2742","子孙",2
"2747","自己",2
"2753","自愿",2
"2754","字第",2
"1","阿比",1
"2","艾锦球",1
"4","爱华",1
"5","爱情",1
"9","安国",1
"12","安心",1
"13","安业",1
"14","安置",1
"21","八年",1
"23","八元",1
"24","巴萨",1
"25","坝子",1
"27","白塔区",1
"28","白雪",1
"29","百八十",1
"30","百分之五十",1
"31","百零",1
"35","班应",1
"36","颁发",1
"37","搬出",1
"38","搬离",1
"39","办公",1
"41","办事处",1
"42","绑架",1
"44","包容",1
"45","宝贵",1
"46","宝山区",1
"47","宝兴",1
"48","宝珍",1
"50","保护法",1
"56","鲍某",1
"57","鲍泽轩",1
"60","暴躁",1
"61","北碚区",1
"62","北城",1
"63","北栋",1
"64","北斗星",1
"67","倍加",1
"73","奔驰",1
"78","毕玲",1
"79","毕玲犯",1
"83","便于",1
"86","表姐",1
"91","并非",1
"94","并育",1
"99","补偿费",1
"101","补充规定",1
"104","不辞而别",1
"105","不到",1
"106","不得",1
"110","不浪村",1
"111","不利",1
"114","不应",1
"116","不再",1
"117","不长",1
"119","不足",1
"122","部门",1
"126","裁定书",1
"128","彩虹",1
"132","蔡娟",1
"133","蔡娟恩",1
"135","蔡文进",1
"136","蔡宗",1
"138","参考",1
"140","残害",1
